Team,Player,BPR
Alabama,Aden Holloway,8.57
Arkansas,Karter Knox,4.16
Auburn,KeShawn Murphy,4.45
BYU,Richie Saunders,8.64
Buffalo,Daniel Freitag,3.93
Clemson,Carter Welling,4.26
Duke,Caleb Foster,5.41
Duke,Patrick Ngongba,10.1
Georgetown,KJ Lewis,5.76
Gonzaga,Braden Huff,7.65
Gonzaga,Jalen Warley,6.73
Michigan,L.J. Cason,4.52
North Carolina,Caleb Wilson,8.96
Northwestern,Arrinten Page,3.98
Oregon,Jackson Shelstad,4.87
SMU,B.J. Edwards,7.28
Texas Tech,JT Toppin,8.85
Texas Tech,LeJuan Watts,4.44
Tulsa,David Green,5.03
UCLA,Tyler Bilodeau,6.28
Virginia Tech,Amani Hansberry,6.5
Wisconsin,Nolan Winter,7.54
Villanova,Matthew Hodge,3.79